active_size dormant_size mut_rate_per_base genome_size gens dormancy_number replicates sub_rate evol_distance sub_rate_N evol_distance_N sub_rate_M evol_distance_M
100 100 0.001 100 10000 2 100 0.02 0.0202715042909 0.05 0.0517446536152 0.03 0.0306164958902
100 100 0.001 100 10000 2 100 0.01 0.0100672652491 0.05 0.0517446536152 0.03 0.0306164958902
100 100 0.001 100 10000 2 100 0.11 0.118953772632 0.35 0.471456494567 0.12 0.130765040359
100 100 0.001 100 10000 2 100 0.03 0.0306164958902 0.2 0.232616196228 0.04 0.0411061773712
100 100 0.001 100 10000 2 100 0.05 0.0517446536152 0.14 0.154960687022 0.06 0.0625362067043
100 100 0.001 100 10000 2 100 0.12 0.130765040359 0.29 0.366635037785 0.16 0.179963002223
100 100 0.001 100 10000 2 100 0.04 0.0411061773712 0.25 0.304098831081 0.05 0.0517446536152
100 100 0.001 100 10000 2 100 0.05 0.0517446536152 0.12 0.130765040359 0.08 0.084596620609
100 100 0.001 100 10000 2 100 0.03 0.0306164958902 0.11 0.118953772632 0.06 0.0625362067043
100 100 0.001 100 10000 2 100 0.04 0.0411061773712 0.16 0.179963002223 0.1 0.107325632731
100 100 0.001 100 10000 2 100 0.07 0.0734853062702 0.18 0.205827634276 0.07 0.0734853062702
100 100 0.001 100 10000 2 100 0.03 0.0306164958902 0.19 0.219102317101 0.06 0.0625362067043
100 100 0.001 100 10000 2 100 0.06 0.0625362067043 0.21 0.246378050229 0.08 0.084596620609
100 100 0.001 100 10000 2 100 0.06 0.0625362067043 0.17 0.192783827242 0.12 0.130765040359
100 100 0.001 100 10000 2 100 0.02 0.0202715042909 0.18 0.205827634276 0.07 0.0734853062702
100 100 0.001 100 10000 2 100 0.04 0.0411061773712 0.09 0.0958750286324 0.04 0.0411061773712
100 100 0.001 100 10000 2 100 0.06 0.0625362067043 0.14 0.154960687022 0.07 0.0734853062702
100 100 0.001 100 10000 2 100 0.07 0.0734853062702 0.16 0.179963002223 0.09 0.0958750286324
100 100 0.001 100 10000 2 100 0.02 0.0202715042909 0.07 0.0734853062702 0.04 0.0411061773712
100 100 0.001 100 10000 2 100 0.06 0.0625362067043 0.17 0.192783827242 0.1 0.107325632731
100 100 0.001 100 10000 2 100 0.04 0.0411061773712 0.16 0.179963002223 0.08 0.084596620609
