active_size dormant_size mut_rate_per_base genome_size gens dormancy_number replicates sub_rate evol_distance sub_rate_N evol_distance_N sub_rate_M evol_distance_M
100 100 0.001 100 10000 3 100 0.08 0.084596620609 0.21 0.246378050229 0.11 0.118953772632
100 100 0.001 100 10000 3 100 0.04 0.0411061773712 0.07 0.0734853062702 0.04 0.0411061773712
100 100 0.001 100 10000 3 100 0.09 0.0958750286324 0.16 0.179963002223 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.07 0.0734853062702 0.13 0.142765296368 0.08 0.084596620609
100 100 0.001 100 10000 3 100 0.04 0.0411061773712 0.13 0.142765296368 0.04 0.0411061773712
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.13 0.142765296368 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.12 0.130765040359 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.06 0.0625362067043 0.17 0.192783827242 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.25 0.304098831081 0.11 0.118953772632
100 100 0.001 100 10000 3 100 0.04 0.0411061773712 0.16 0.179963002223 0.07 0.0734853062702
100 100 0.001 100 10000 3 100 0.08 0.084596620609 0.2 0.232616196228 0.1 0.107325632731
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.21 0.246378050229 0.07 0.0734853062702
100 100 0.001 100 10000 3 100 0.02 0.0202715042909 0.04 0.0411061773712 0.04 0.0411061773712
100 100 0.001 100 10000 3 100 0.08 0.084596620609 0.27 0.334715326971 0.1 0.107325632731
100 100 0.001 100 10000 3 100 0.07 0.0734853062702 0.21 0.246378050229 0.11 0.118953772632
100 100 0.001 100 10000 3 100 0.04 0.0411061773712 0.13 0.142765296368 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.08 0.084596620609 0.23 0.274683296216 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.25 0.304098831081 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.04 0.0411061773712 0.12 0.130765040359 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.0 0.0 0.12 0.130765040359 0.01 0.0100672652491
100 100 0.001 100 10000 3 100 0.04 0.0411061773712 0.11 0.118953772632 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.08 0.084596620609 0.26 0.319250861569 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.1 0.107325632731 0.26 0.319250861569 0.15 0.167357663486
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.25 0.304098831081 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.04 0.0411061773712 0.15 0.167357663486 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.11 0.118953772632 0.16 0.179963002223 0.15 0.167357663486
100 100 0.001 100 10000 3 100 0.07 0.0734853062702 0.15 0.167357663486 0.1 0.107325632731
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.19 0.219102317101 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.09 0.0958750286324 0.17 0.192783827242 0.13 0.142765296368
100 100 0.001 100 10000 3 100 0.02 0.0202715042909 0.1 0.107325632731 0.04 0.0411061773712
100 100 0.001 100 10000 3 100 0.08 0.084596620609 0.23 0.274683296216 0.11 0.118953772632
100 100 0.001 100 10000 3 100 0.02 0.0202715042909 0.13 0.142765296368 0.02 0.0202715042909
100 100 0.001 100 10000 3 100 0.02 0.0202715042909 0.08 0.084596620609 0.02 0.0202715042909
100 100 0.001 100 10000 3 100 0.06 0.0625362067043 0.14 0.154960687022 0.1 0.107325632731
100 100 0.001 100 10000 3 100 0.08 0.084596620609 0.18 0.205827634276 0.11 0.118953772632
100 100 0.001 100 10000 3 100 0.07 0.0734853062702 0.15 0.167357663486 0.1 0.107325632731
100 100 0.001 100 10000 3 100 0.13 0.142765296368 0.24 0.289246860609 0.15 0.167357663486
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.29 0.366635037785 0.1 0.107325632731
100 100 0.001 100 10000 3 100 0.06 0.0625362067043 0.23 0.274683296216 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.06 0.0625362067043 0.16 0.179963002223 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.1 0.107325632731 0.24 0.289246860609 0.12 0.130765040359
100 100 0.001 100 10000 3 100 0.11 0.118953772632 0.2 0.232616196228 0.16 0.179963002223
100 100 0.001 100 10000 3 100 0.02 0.0202715042909 0.08 0.084596620609 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.06 0.0625362067043 0.29 0.366635037785 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.07 0.0734853062702 0.13 0.142765296368 0.09 0.0958750286324
100 100 0.001 100 10000 3 100 0.06 0.0625362067043 0.15 0.167357663486 0.07 0.0734853062702
100 100 0.001 100 10000 3 100 0.02 0.0202715042909 0.1 0.107325632731 0.03 0.0306164958902
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.13 0.142765296368 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.1 0.107325632731 0.21 0.246378050229 0.16 0.179963002223
100 100 0.001 100 10000 3 100 0.1 0.107325632731 0.18 0.205827634276 0.13 0.142765296368
100 100 0.001 100 10000 3 100 0.02 0.0202715042909 0.05 0.0517446536152 0.03 0.0306164958902
100 100 0.001 100 10000 3 100 0.07 0.0734853062702 0.29 0.366635037785 0.1 0.107325632731
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.1 0.107325632731 0.08 0.084596620609
100 100 0.001 100 10000 3 100 0.03 0.0306164958902 0.27 0.334715326971 0.05 0.0517446536152
100 100 0.001 100 10000 3 100 0.08 0.084596620609 0.13 0.142765296368 0.1 0.107325632731
100 100 0.001 100 10000 3 100 0.06 0.0625362067043 0.11 0.118953772632 0.07 0.0734853062702
100 100 0.001 100 10000 3 100 0.05 0.0517446536152 0.1 0.107325632731 0.07 0.0734853062702
